,PC1,PC2
6303162290,0.0,0.0
6305480869,0.0,0.0
B000006B4Y,-8.400339e-05,0.010825162
B00005RFHF,5.2041704e-18,1.110223e-16
B000E372ZY,2.7755576e-17,-5.551115e-17
B004K6FS5W,1.110223e-16,6.938894e-18
B0090JBOC0,-0.028184254,0.090065114
B00BTFK07I,0.0,0.0
B00FL31UF0,-0.99960065,-0.004573905
B00FRE6OFO,0.0,0.0
B00HSJ2CVQ,0.0,0.0
B00HUTPK4U,0.0,0.0
B00HW3EI3I,0.0,0.0
B00IKM5LXG,0.0,0.0
B00J22YU62,0.0,0.0
B00NCDVVLY,0.0020411883,-0.99586654
B00PH1H6TK,0.0,0.0
B00SFRHKAI,0.0,0.0
B00TKIJGDA,0.0,0.0
B00ZL4Q7NE,0.0,0.0
