,PC1,PC2
A00013803RVZPCZKTT9U,0.0,0.0
A0001392IVCRENBEIEYS,0.0,0.0
A0001598OL7FAN6XNMK9,0.0,0.0
A0002090WKEMAO8KOWKM,0.0,0.0
A00049826E18XJLZ3YC0,0.0,0.0
A0005426V58WVW05LDKK,0.0,0.0
A0005916MHK9RK69491E,0.0,0.0
A0007042BQBQLK20MOG7,0.0,0.0
A0007430W3WXY3QNYB2S,0.0,0.0
A00086729ZDSXGG2E481,0.0,0.0
A0009988MRFQ3TROTQPI,0.0,0.0
A00116683339FAW9XGHO,0.0,0.0
A001170867ZBE9FORRQL,0.0,0.0
A0014392U7DSQERYR8EC,0.0,0.0
A001524696SLA34399M4,0.0,0.0
A0017882XAS5VJGSZF5R,0.0,0.0
A0018632VUVKRGSYBEAT,0.0,0.0
A0018722W1EILNRQMK78,0.0,0.0
A0019420MGJRFO7TA5QC,0.0,0.0
A0020818TMV75JLXCE6I,0.0,0.0
A00222906VX8GH7X6J6B,0.0,0.0
A0022400EY2L9WUZ2QRQ,0.0,0.0
A0025276XH785Y75YRN0,0.0,0.0
A0026168UI0QLKC4GA6C,0.0,0.0
A0028738FYF1SKPPC7B1,0.0,0.0
A0030986H4J5FK1CO31D,0.0,0.0
A0031058JE3FMOX5C1XR,0.0,0.0
A00311542N70JGNHUZPI,0.0,0.0
A0031356W5RLX60NUXHS,0.0,0.0
A00322089E4SU2A5ERBQ,0.0,0.0
A0032752LTC7FRSBF7K,0.0,0.0
A0033358Q08LR9V17C3X,0.0,0.0
A00348066Q1WEW5BMESN,0.0,0.0
A0034986DWR7WEDQN0GV,0.0,0.0
A0035024LTJ1EPOQR1L2,0.0,0.0
A0035980H0GNR8VRG6PS,0.0,0.0
A0037806P4EHIL04HVOB,0.0,0.0
A0038362B9CCSVSSNI87,0.0,0.0
A0038484LHJS3FW85G43,0.0,0.0
A00392084ZJ0X4K2BPR4,0.0,0.0
A0040332ZUSVVN7CM6P0,0.0,0.0
A00405485NUJUQ4LKZCE,0.0,0.0
A0040548BPHKXMHH3NTI,0.0,0.0
